scbkod;n;ref_code
98037;235;SE/098037000
158402;234;SE/158402000
11506;230;SE/011506000
78014;230;SE/078014000
12004;226;SE/012004000
98012;226;SE/098012000
168652;225;SE/168652000
123010;222;SE/123010000
168600;217;SE/168600000
58613;215;SE/058613000
38113;212;SE/038113000
168304;212;SE/168304000
168626;211;SE/168626000
13603;210;SE/013603000
98085;210;SE/098085000
168508;210;SE/168508000
168017;209;SE/168017000
168014;207;SE/168014000
152711;200;SE/152711000
88505;198;SE/088505000
156612;196;SE/156612000
76403;189;SE/076403000
128715;187;SE/128715000
168625;184;SE/168625000
66206;183;SE/066206000
168642;179;SE/168642000
168650;175;SE/168650000
98080;169;SE/098080000
230900;166;SE/230900000
231300;164;SE/231300000
58027;152;SE/058027000
38121;147;SE/038121000
98092;146;SE/098092000
98034;128;SE/098034000
156613;126;SE/156613000
126305;124;SE/126305000
156600;111;SE/156600000
