scbkod;n;ref_code
98004;1101;SE/098004000
58300;1100;SE/058300000
126112;1099;SE/126112000
56003;1095;SE/056003000
58307;1094;SE/058307000
78021;1092;SE/078021000
38214;1091;SE/038214000
38022;1090;SE/038022000
38117;1090;SE/038117000
198103;1089;SE/198103000
156107;1087;SE/156107000
156508;1086;SE/156508000
148209;1081;SE/148209000
38017;1080;SE/038017000
58602;1080;SE/058602000
148605;1070;SE/148605000
156309;1068;SE/156309000
58617;1066;SE/058617000
156108;1066;SE/156108000
230907;1066;SE/230907000
56102;1064;SE/056102000
108004;1058;SE/108004000
88108;1053;SE/088108000
116013;1051;SE/116013000
58203;1050;SE/058203000
56006;1048;SE/056006000
68021;1043;SE/068021000
19101;1042;SE/019101000
143006;1038;SE/143006000
152404;1031;SE/152404000
143507;1029;SE/143507000
112105;1028;SE/112105000
12504;1025;SE/012504000
118019;1025;SE/118019000
123006;1024;SE/123006000
131503;1024;SE/131503000
58324;1022;SE/058324000
38114;1021;SE/038114000
58004;1021;SE/058004000
38027;1020;SE/038027000
18826;1019;SE/018826000
38210;1019;SE/038210000
88002;1018;SE/088002000
58031;1016;SE/058031000
108300;1010;SE/108300000
98006;1002;SE/098006000
148029;1002;SE/148029000
58616;1000;SE/058616000
148027;999;SE/148027000
78115;996;SE/078115000
88011;995;SE/088011000
141501;993;SE/141501000
178502;991;SE/178502000
156505;985;SE/156505000
156009;984;SE/156009000
51206;978;SE/051206000
118028;978;SE/118028000
108007;977;SE/108007000
38025;975;SE/038025000
58323;975;SE/058323000
128619;971;SE/128619000
38119;966;SE/038119000
30503;963;SE/030503000
68014;963;SE/068014000
88009;959;SE/088009000
98077;959;SE/098077000
48007;958;SE/048007000
50903;958;SE/050903000
78015;957;SE/078015000
166013;956;SE/166013000
88407;952;SE/088407000
78017;950;SE/078017000
50904;949;SE/050904000
176402;949;SE/176402000
108108;948;SE/108108000
158308;945;SE/158308000
118003;944;SE/118003000
156008;942;SE/156008000
58015;938;SE/058015000
13901;933;SE/013901000
58618;929;SE/058618000
156310;929;SE/156310000
252103;927;SE/252103000
78024;924;SE/078024000
38136;918;SE/038136000
98009;918;SE/098009000
148102;917;SE/148102000
58204;913;SE/058204000
88512;912;SE/088512000
148030;910;SE/148030000
18817;903;SE/018817000
58025;903;SE/058025000
13801;900;SE/013801000
58605;897;SE/058605000
58119;896;SE/058119000
98057;894;SE/098057000
156506;894;SE/156506000
230502;893;SE/230502000
18103;888;SE/018103000
76408;888;SE/076408000
173702;888;SE/173702000
116012;887;SE/116012000
156104;881;SE/156104000
38019;880;SE/038019000
138015;879;SE/138015000
138006;878;SE/138006000
118025;876;SE/118025000
198302;876;SE/198302000
198105;875;SE/198105000
50906;873;SE/050906000
68013;868;SE/068013000
38039;867;SE/038039000
142107;867;SE/142107000
50905;865;SE/050905000
84006;864;SE/084006000
188017;860;SE/188017000
156503;859;SE/156503000
198018;858;SE/198018000
58032;853;SE/058032000
78002;853;SE/078002000
58124;847;SE/058124000
88509;847;SE/088509000
13906;844;SE/013906000
98071;844;SE/098071000
155211;843;SE/155211000
178104;843;SE/178104000
58113;840;SE/058113000
58611;839;SE/058611000
155202;835;SE/155202000
13903;831;SE/013903000
58117;831;SE/058117000
98011;831;SE/098011000
98018;830;SE/098018000
143002;830;SE/143002000
58107;829;SE/058107000
98076;829;SE/098076000
176507;829;SE/176507000
38212;826;SE/038212000
78117;824;SE/078117000
78019;822;SE/078019000
128117;821;SE/128117000
98072;820;SE/098072000
50907;815;SE/050907000
242502;813;SE/242502000
88502;812;SE/088502000
68012;810;SE/068012000
156313;809;SE/156313000
12508;808;SE/012508000
98089;808;SE/098089000
118317;805;SE/118317000
166109;803;SE/166109000
58309;801;SE/058309000
138224;801;SE/138224000
58116;796;SE/058116000
98084;795;SE/098084000
178005;793;SE/178005000
126306;791;SE/126306000
38030;787;SE/038030000
123002;782;SE/123002000
155203;782;SE/155203000
118012;779;SE/118012000
118118;779;SE/118118000
156507;775;SE/156507000
58326;773;SE/058326000
86007;772;SE/086007000
178504;771;SE/178504000
178507;771;SE/178507000
12005;766;SE/012005000
18815;766;SE/018815000
168403;762;SE/168403000
168651;761;SE/168651000
78011;759;SE/078011000
58604;756;SE/058604000
84001;756;SE/084001000
118320;754;SE/118320000
38018;753;SE/038018000
84014;752;SE/084014000
98035;752;SE/098035000
58410;751;SE/058410000
88508;751;SE/088508000
58308;750;SE/058308000
168113;747;SE/168113000
18812;744;SE/018812000
58028;744;SE/058028000
138010;744;SE/138010000
98015;743;SE/098015000
56105;741;SE/056105000
98005;740;SE/098005000
18108;739;SE/018108000
178010;738;SE/178010000
116202;737;SE/116202000
138008;737;SE/138008000
84005;736;SE/084005000
38029;732;SE/038029000
38036;732;SE/038036000
158507;730;SE/158507000
38118;728;SE/038118000
13605;725;SE/013605000
38130;725;SE/038130000
38016;721;SE/038016000
84013;721;SE/084013000
108106;719;SE/108106000
155204;719;SE/155204000
38032;717;SE/038032000
12502;715;SE/012502000
58020;715;SE/058020000
58014;700;SE/058014000
148210;699;SE/148210000
158428;699;SE/158428000
118004;695;SE/118004000
51205;694;SE/051205000
11704;692;SE/011704000
78107;692;SE/078107000
84016;692;SE/084016000
38107;689;SE/038107000
98073;689;SE/098073000
84010;688;SE/084010000
98055;686;SE/098055000
126202;684;SE/126202000
38042;683;SE/038042000
58607;681;SE/058607000
155208;680;SE/155208000
126203;677;SE/126203000
166103;677;SE/166103000
58608;675;SE/058608000
98040;675;SE/098040000
58121;673;SE/058121000
58311;672;SE/058311000
58405;672;SE/058405000
38111;667;SE/038111000
13904;665;SE/013904000
12501;664;SE/012501000
108001;662;SE/108001000
12506;660;SE/012506000
116001;660;SE/116001000
128012;657;SE/128012000
78018;656;SE/078018000
168312;656;SE/168312000
98048;655;SE/098048000
58017;651;SE/058017000
58310;651;SE/058310000
155207;651;SE/155207000
158305;651;SE/158305000
156514;650;SE/156514000
38109;647;SE/038109000
68022;647;SE/068022000
88515;644;SE/088515000
148206;644;SE/148206000
78027;642;SE/078027000
88010;642;SE/088010000
158312;641;SE/158312000
88107;639;SE/088107000
98047;639;SE/098047000
143508;636;SE/143508000
198017;635;SE/198017000
155209;634;SE/155209000
98025;631;SE/098025000
168115;631;SE/168115000
68004;628;SE/068004000
158307;628;SE/158307000
48006;627;SE/048006000
198010;627;SE/198010000
58128;626;SE/058128000
58411;624;SE/058411000
148204;623;SE/148204000
98029;622;SE/098029000
56103;621;SE/056103000
88004;621;SE/088004000
232107;618;SE/232107000
98063;617;SE/098063000
98091;615;SE/098091000
13905;613;SE/013905000
158427;611;SE/158427000
88504;610;SE/088504000
126508;610;SE/126508000
198019;609;SE/198019000
78010;608;SE/078010000
78113;607;SE/078113000
178404;606;SE/178404000
