parish_name,parish_code,ever_iline
HELGA TREFALDIGHETS FÖRSAMLING,38002000,0
GAMLA UPPSALA FÖRSAMLING,38003000,0
VAKSALA FÖRSAMLING,38004000,0
DANMARKS FÖRSAMLING,38005000,0
FUNBO FÖRSAMLING,38006000,0
HAGBY FÖRSAMLING C LÄN,38007000,0
RAMSTA FÖRSAMLING,38008000,0
BALINGSTA FÖRSAMLING,38009000,0
VÄSTERÅKERS FÖRSAMLING,38010000,0
DALBY FÖRSAMLING C LÄN,38011000,0
UPPSALA NÄS FÖRSAMLING,38012000,0
VÄNGE OCH LÄBY FÖRSAMLING,38014002,0
ÅLANDS FÖRSAMLING,38015000,0
SKOGS TIBBLE FÖRSAMLING,38016000,0
JÄRLÅSA FÖRSAMLING,38017000,0
JUMKILS FÖRSAMLING,38018000,0
BÖRJE FÖRSAMLING,38019000,0
ÅKERBY FÖRSAMLING,38020000,0
BÄLINGE FÖRSAMLING C LÄN,38021000,0
SKUTTUNGE FÖRSAMLING,38022000,0
TENSTA FÖRSAMLING,38023000,0
LENA FÖRSAMLING C LÄN,38024000,0
ÄRENTUNA FÖRSAMLING,38025000,0
BJÖRKLINGE FÖRSAMLING,38026000,0
VIKSTA FÖRSAMLING,38027000,0
KNUTBY FÖRSAMLING,38028000,0
BLADÅKERS FÖRSAMLING,38029000,0
FARINGE FÖRSAMLING,38030000,0
ALMUNGE FÖRSAMLING,38031000,0
LAGGA FÖRSAMLING,38032000,0
ALSIKE FÖRSAMLING,38033000,0
VASSUNDA FÖRSAMLING,38034000,0
KNIVSTA FÖRSAMLING,38035000,0
ÖSTUNA FÖRSAMLING,38036000,0
HUSBY LÅNGHUNDRA FÖRSAMLING,38037000,0
STAVBY FÖRSAMLING,38039000,0
TUNA FÖRSAMLING C LÄN,38040000,0
RASBO FÖRSAMLING,38041000,0
RASBOKILS FÖRSAMLING,38042000,0
ENKÖPINGS FÖRSAMLING,38101000,0
ENKÖPINGS NÄS FÖRSAMLING,38102000,0
TEDA FÖRSAMLING,38103000,0
SVINNEGARNS FÖRSAMLING,38104000,0
TILLINGE FÖRSAMLING,38105000,0
BREDS FÖRSAMLING,38106000,0
SPARRSÄTRA FÖRSAMLING,38107000,0
BOGLÖSA FÖRSAMLING,38109000,0
LILLKYRKA FÖRSAMLING C LÄN,38110000,0
VALLBY FÖRSAMLING C LÄN,38111000,0
KUNGS HUSBY FÖRSAMLING,38112000,0
ARNÖ FÖRSAMLING,38112002,0
TORSVI FÖRSAMLING,38113000,0
VECKHOLMS FÖRSAMLING,38114000,0
HACKSTA FÖRSAMLING,38115000,0
LÖTS FÖRSAMLING C LÄN,38116000,0
VILLBERGA FÖRSAMLING,38117000,0
HUSBY SJUTOLFTS FÖRSAMLING,38118000,0
LITSLENA FÖRSAMLING,38119000,0
HÄRKEBERGA FÖRSAMLING,38120000,0
HOLMS FÖRSAMLING C LÄN,38121000,0
FITTJA FÖRSAMLING,38122000,0
KULLA FÖRSAMLING,38123000,0
HJÄLSTA FÖRSAMLING,38124000,0
GIRESTA FÖRSAMLING,38125000,0
FRÖSLUNDA FÖRSAMLING,38126000,0
BISKOPSKULLA FÖRSAMLING,38127000,0
LÅNGTORA FÖRSAMLING,38128000,0
NYSÄTRA FÖRSAMLING C LÄN,38129000,0
GRYTA FÖRSAMLING,38130000,0
SIMTUNA FÖRSAMLING,38131000,0
FRÖSTHULTS FÖRSAMLING,38132000,0
HÄRNEVI FÖRSAMLING,38133000,0
TORSTUNA FÖRSAMLING,38134000,0
ÖSTERUNDA FÖRSAMLING,38135000,0
ALTUNA FÖRSAMLING,38136000,0
ÖSTHAMMARS FÖRSAMLING,38201000,0
FORSMARKS FÖRSAMLING,38202000,0
VALÖ FÖRSAMLING,38203000,0
BÖRSTILS FÖRSAMLING,38204000,0
HÖKHUVUDS FÖRSAMLING,38205000,0
HARGS FÖRSAMLING,38206000,0
ÖREGRUNDS FÖRSAMLING,38207000,0
GRÄSÖ FÖRSAMLING,38208000,0
ALUNDA FÖRSAMLING,38209000,0
EKEBY FÖRSAMLING C LÄN,38210000,0
SKÄFTHAMMARS FÖRSAMLING,38211000,0
MORKARLA FÖRSAMLING,38212000,0
FILMS FÖRSAMLING,38213000,0
DANNEMORA FÖRSAMLING,38214000,1
VÄSTRA VINGÅKERS FÖRSAMLING,42801000,0
ÖSTERÅKERS FÖRSAMLING D LÄN,42802000,0
NYKÖPINGS SANKT NICOLAI FÖRSAMLING,48001000,0
NYKÖPINGS ALLA HELGONA FÖRSAMLING,48002000,0
SVÄRTA FÖRSAMLING,48004000,0
TUNABERGS FÖRSAMLING,48005000,0
BERGSHAMMARS FÖRSAMLING,48006000,0
TUNA FÖRSAMLING D LÄN,48007000,0
LUNDA FÖRSAMLING D LÄN,48008000,0
KILA FÖRSAMLING D LÄN,48009000,0
STIGTOMTA FÖRSAMLING,48010000,0
HALLA FÖRSAMLING D LÄN,48011000,0
NYKYRKA FÖRSAMLING D LÄN,48012000,0
BÄRBO FÖRSAMLING,48013000,0
RÅBY RÖNÖ FÖRSAMLING,48014000,0
LIDS FÖRSAMLING,48015000,0
RIPSA FÖRSAMLING,48016000,0
LUDGO FÖRSAMLING,48017000,0
SPELVIKS FÖRSAMLING,48018000,0
RUNTUNA FÖRSAMLING,48019000,0
TYSTBERGA FÖRSAMLING,48020000,0
LÄSTRINGE FÖRSAMLING,48023000,0
BOGSTA FÖRSAMLING,48023002,0
SÄTTERSTA FÖRSAMLING,48023003,0
TORSÅKERS FÖRSAMLING D LÄN,48023004,0
BÄLINGE FÖRSAMLING D LÄN,48024000,0
HUSBY OPPUNDA FÖRSAMLING,48026000,0
VRENA FÖRSAMLING,48027000,0
TROSA STADSFÖRSAMLING,48028000,0
FRUSTUNA FÖRSAMLING,48029001,0
KATTNÄS FÖRSAMLING,48029002,0
VÄSTERLJUNGS FÖRSAMLING,48030000,0
TROSA LANDSFÖRSAMLING,48031002,0
VAGNHÄRADS FÖRSAMLING,48031003,0
GÅSINGE FÖRSAMLING,48032001,0
DILLNÄS FÖRSAMLING,48032002,0
BJÖRNLUNDA FÖRSAMLING,48033000,0
GRYTS FÖRSAMLING D LÄN,48034000,0
FLENS FÖRSAMLING,48201000,0
HYLTINGE FÖRSAMLING,48202000,0
HELGESTA FÖRSAMLING,48203000,0
ÅRDALA FÖRSAMLING,48204000,0
LILLA MALMA FÖRSAMLING,48205000,0
DUNKERS FÖRSAMLING,48206000,0
MELLÖSA FÖRSAMLING,48207000,0
BETTNA FÖRSAMLING,48208000,0
BLACKSTA FÖRSAMLING,48209000,0
FORSSA FÖRSAMLING,48210000,0
VADSBRO FÖRSAMLING,48211000,0
BJÖRKVIKS FÖRSAMLING,48302000,0
LERBO FÖRSAMLING,48303000,0
SKÖLDINGE FÖRSAMLING,48304000,0
FLODA FÖRSAMLING D LÄN,48305000,0
STORA MALMS FÖRSAMLING,48306000,0
ÖSTRA VINGÅKERS FÖRSAMLING,48307000,0
JULITA FÖRSAMLING,48308000,0
FORS FÖRSAMLING,48401001,0
ESKILSTUNA FÖRSAMLING,48401002,0
KLOSTERS FÖRSAMLING,48402001,0
TORSHÄLLA FÖRSAMLING,48403000,0
BARVA FÖRSAMLING,48404000,0
JÄDERS FÖRSAMLING,48405000,0
KJULA FÖRSAMLING,48406000,0
HAMMARBY FÖRSAMLING D LÄN,48407000,0
SUNDBY FÖRSAMLING,48408000,0
VALLBY FÖRSAMLING D LÄN,48409000,0
HÄLLBY FÖRSAMLING,48410000,0
TUMBO FÖRSAMLING,48411000,0
RÅBY REKARNE FÖRSAMLING,48412000,0
GILLBERGA FÖRSAMLING D LÄN,48413000,0
LISTA FÖRSAMLING,48414000,0
ÖJA FÖRSAMLING D LÄN,48415000,0
VÄSTERMO FÖRSAMLING,48416000,0
NÄSHULTA FÖRSAMLING,48417000,0
HUSBY REKARNE FÖRSAMLING,48418000,0
STENKVISTA FÖRSAMLING,48419000,0
ÄRLA FÖRSAMLING,48420000,0
STRÄNGNÄS STADSFÖRSAMLING,48601002,0
STRÄNGNÄS LANDSFÖRSAMLING,48601004,0
ASPÖ FÖRSAMLING D LÄN,48603000,0
MARIEFREDS FÖRSAMLING,48604000,0
KÄRNBO FÖRSAMLING,48604001,0
LÄNNA FÖRSAMLING D LÄN,48605000,0
ÅKERS FÖRSAMLING D LÄN,48606000,0
TORESUNDS FÖRSAMLING,48607000,0
YTTERSELÖ FÖRSAMLING,48608000,0
ÖVERSELÖ FÖRSAMLING,48609000,0
VANSÖ FÖRSAMLING,48610000,0
FOGDÖ FÖRSAMLING,48611000,0
HELGARÖ FÖRSAMLING,48612000,0
HÄRADS FÖRSAMLING,48613000,0
STORA ÅBY FÖRSAMLING,50901000,0
ÖDESHÖGS FÖRSAMLING,50902000,0
SVANSHALS FÖRSAMLING,50903000,0
VÄSTRA TOLLSTADS FÖRSAMLING,50904000,0
HEDA FÖRSAMLING,50905000,0
RÖKS FÖRSAMLING,50906000,0
TREHÖRNA FÖRSAMLING,50907000,0
TORPA FÖRSAMLING E LÄN,51201000,0
ASBY FÖRSAMLING,51202000,0
SUNDS FÖRSAMLING,51203000,0
VÄSTRA RYDS FÖRSAMLING E LÄN,51204000,0
SVINHULTS FÖRSAMLING,51205000,0
NORRA VI FÖRSAMLING,51206000,0
TIDERSRUMS FÖRSAMLING,51301000,0
KISA FÖRSAMLING,51302000,0
VÄSTRA ENEBY FÖRSAMLING,51303000,0
HORNS FÖRSAMLING E LÄN,51304000,0
HYCKLINGE FÖRSAMLING,51305000,0
OPPEBY FÖRSAMLING,51306000,0
HÄGERSTADS FÖRSAMLING,51307000,0
KÄTTILSTADS FÖRSAMLING,51308000,0
TJÄRSTADS FÖRSAMLING,51309000,0
EKEBY FÖRSAMLING E LÄN,56002000,0
RINNA FÖRSAMLING,56003000,0
ÅSBO FÖRSAMLING,56004000,0
BLÅVIKS FÖRSAMLING,56005000,0
MALEXANDERS FÖRSAMLING,56006000,0
ÅTVIDS FÖRSAMLING,56101000,0
GREBO FÖRSAMLING,56102000,0
VÄRNA FÖRSAMLING,56103000,0
BJÖRSÄTERS FÖRSAMLING E LÄN,56104000,0
YXNERUMS FÖRSAMLING,56105000,0
HANNÄS FÖRSAMLING,56106000,0
GÄRDSERUMS FÖRSAMLING,56107000,0
RISINGE FÖRSAMLING,56201000,0
HÄLLESTADS FÖRSAMLING E LÄN,56202000,0
REGNA FÖRSAMLING,56203000,0
SKEDEVI FÖRSAMLING,56204000,0
RINGARUMS FÖRSAMLING,56302000,0
GRYTS FÖRSAMLING E LÄN,56304000,0
TRYSERUMS FÖRSAMLING,56305000,0
ÖSTRA EDS FÖRSAMLING,56306000,0
LINKÖPINGS DOMKYRKOFÖRSAMLING,58001000,0
LINKÖPINGS SANKT LARS FÖRSAMLING,58002000,0
LANDERYDS FÖRSAMLING,58003000,0
SLAKA FÖRSAMLING,58004000,0
KÄRNA FÖRSAMLING,58005000,0
KAGA FÖRSAMLING,58006000,0
LEDBERGS FÖRSAMLING,58007000,0
VISTS FÖRSAMLING,58008000,0
VÅRDNÄS FÖRSAMLING,58009000,0
SKEDA FÖRSAMLING,58010000,0
NYKILS FÖRSAMLING,58011000,0
ULRIKA FÖRSAMLING,58012000,0
GAMMALKILS FÖRSAMLING,58013000,0
SJÖGESTADS FÖRSAMLING,58014000,0
VÄSTERLÖSA FÖRSAMLING,58015000,0
BJÖRKEBERGS FÖRSAMLING,58016000,0
RAPPESTADS FÖRSAMLING,58017000,0
VIKINGSTADS FÖRSAMLING,58018000,0
VRETA KLOSTERS FÖRSAMLING,58019000,0
FLISTADS FÖRSAMLING E LÄN,58020000,0
LJUNGS FÖRSAMLING E LÄN,58021000,0
STJÄRNORPS FÖRSAMLING,58022000,0
ÖSTRA HARGS FÖRSAMLING,58023000,0
RYSTADS FÖRSAMLING,58024000,0
TÖRNEVALLA FÖRSAMLING,58025000,0
ÖSTRA SKRUKEBY FÖRSAMLING,58026000,0
LILLKYRKA FÖRSAMLING E LÄN,58027000,0
GISTADS FÖRSAMLING,58028000,0
ÖRTOMTA FÖRSAMLING,58029000,0
ASKEBY FÖRSAMLING,58030000,0
BANKEKINDS FÖRSAMLING,58031000,0
VÅRDSBERGS FÖRSAMLING,58032000,0
NORRKÖPINGS SANKT OLAI FÖRSAMLING,58101000,0
NORRKÖPINGS HEDVIGS FÖRSAMLING,58102000,0
NORRKÖPINGS MATTEUS FÖRSAMLING,58103000,0
NORRKÖPINGS ÖSTRA ENEBY FÖRSAMLING,58104000,0
NORRKÖPINGS BORGS FÖRSAMLING,58105000,0
NORRKÖPINGS SANKT JOHANNES FÖRSAMLING,58106000,0
STYRSTADS FÖRSAMLING,58107000,0
TINGSTADS FÖRSAMLING,58108000,0
KULLERSTADS FÖRSAMLING,58109000,0
VÅNGA FÖRSAMLING E LÄN,58110000,0
SKÄRKINDS FÖRSAMLING,58111000,0
KIMSTADS FÖRSAMLING,58112000,0
SIMONSTORPS FÖRSAMLING,58113000,0
KVILLINGE FÖRSAMLING,58114000,0
KROKEKS FÖRSAMLING,58115000,0
KVARSEBO FÖRSAMLING,58116000,0
ÖSTRA STENBY FÖRSAMLING,58117000,0
KONUNGSUNDS FÖRSAMLING,58118000,0
DAGSBERGS FÖRSAMLING,58119000,0
FURINGSTADS FÖRSAMLING,58120000,0
TÅBY FÖRSAMLING,58121000,0
KUDDBY FÖRSAMLING,58122000,0
Å FÖRSAMLING,58123000,0
ÖSTRA NY FÖRSAMLING,58124000,0
ÖSTRA HUSBY FÖRSAMLING,58125000,0
HÄRADSHAMMARS FÖRSAMLING,58126000,0
JONSBERGS FÖRSAMLING,58127000,0
RÖNÖ FÖRSAMLING,58128000,0
SANKT LAURENTII FÖRSAMLING,58201000,0
DROTHEMS FÖRSAMLING,58202000,0
SKÖNBERGA FÖRSAMLING,58203000,0
VÄSTRA HUSBY FÖRSAMLING,58204000,0
GÅRDEBY FÖRSAMLING,58205000,0
ÖSTRA RYDS FÖRSAMLING E LÄN,58206000,0
SKÄLLVIKS FÖRSAMLING,58207000,0
SANKT ANNA FÖRSAMLING,58208000,0
BÖRRUMS FÖRSAMLING,58209000,0
MOGATA FÖRSAMLING,58210000,0
MOTALA FÖRSAMLING,58301000,0
VINNERSTADS FÖRSAMLING,58301002,0
VÄSTRA NY FÖRSAMLING,58303000,0
GODEGÅRDS FÖRSAMLING,58304000,0
KRISTBERGS FÖRSAMLING,58305000,0
BRUNNEBY FÖRSAMLING,58306000,0
KLOCKRIKE FÖRSAMLING,58307000,0
ÄLVESTADS FÖRSAMLING,58308000,0
FORNÅSA FÖRSAMLING,58309000,0
LÖNSÅS FÖRSAMLING,58310000,0
EKEBYBORNA FÖRSAMLING,58311000,0
ASKS FÖRSAMLING E LÄN,58312000,0
TJÄLLMO FÖRSAMLING,58322000,0
VARV OCH STYRA FÖRSAMLING,58323000,0
VÄSTRA STENBY FÖRSAMLING,58324000,0
FIVELSTADS FÖRSAMLING,58326000,0
VADSTENA FÖRSAMLING,58401000,0
SANKT PERS FÖRSAMLING VADSTENA LANDS,58401002,0
STRÅ FÖRSAMLING,58403000,0
NÄSSJA FÖRSAMLING,58404000,0
ÖRBERGA FÖRSAMLING,58405000,0
HERRESTADS FÖRSAMLING E LÄN,58406000,0
KÄLLSTADS FÖRSAMLING,58407000,0
ROGSLÖSA FÖRSAMLING,58408000,0
VÄVERSUNDA FÖRSAMLING,58409000,0
HOVS FÖRSAMLING E LÄN,58410000,0
HAGEBYHÖGA FÖRSAMLING,58411000,0
ORLUNDA FÖRSAMLING,58412000,0
MJÖLBY FÖRSAMLING,58601000,0
HÖGBY FÖRSAMLING E LÄN,58602000,0
SKÄNNINGE FÖRSAMLING,58603000,0
BJÄLBO FÖRSAMLING,58604000,0
ALLHELGONA FÖRSAMLING E LÄN,58605000,0
JÄRSTADS FÖRSAMLING,58606000,0
NORMLÖSA FÖRSAMLING,58607000,0
VALLERSTADS FÖRSAMLING,58608000,0
SKEPPSÅS FÖRSAMLING,58609000,0
APPUNA FÖRSAMLING,58610000,0
HOGSTADS FÖRSAMLING,58611000,0
VÄDERSTADS FÖRSAMLING,58612000,0
KUMLA FÖRSAMLING E LÄN,58613000,0
VÄSTRA HARGS FÖRSAMLING,58614000,0
SYA FÖRSAMLING,58615000,0
ÖSTRA TOLLSTADS FÖRSAMLING,58616000,0
VIBY FÖRSAMLING E LÄN,58617000,0
VETA FÖRSAMLING,58618000,0
HERRBERGA FÖRSAMLING,58619000,0
BÄLARYDS FÖRSAMLING,60401000,0
BREDESTADS FÖRSAMLING,60402000,0
ASKERYDS FÖRSAMLING,60403000,0
MARBÄCKS FÖRSAMLING F LÄN,60404000,0
FRINNARYDS FÖRSAMLING,60405000,0
LOMMARYDS FÖRSAMLING,60406000,0
HAURIDA FÖRSAMLING,60407000,0
VIREDA FÖRSAMLING,60408000,0
KÄLLERYDS FÖRSAMLING,61701000,0
ÅSENHÖGA FÖRSAMLING,61702000,0
KÄVSJÖ FÖRSAMLING,61703000,0
KULLTORPS FÖRSAMLING F LÄN,61704000,0
GNOSJÖ FÖRSAMLING,61705000,0
GISLAVEDS FÖRSAMLING,66201000,0
VÅTHULTS FÖRSAMLING,66202000,0
BOSEBO FÖRSAMLING,66203000,0
ANDERSTORPS FÖRSAMLING,66204000,0
STENGÅRDSHULTS FÖRSAMLING,66205000,0
VALDSHULTS FÖRSAMLING,66206000,0
ÖRERYDS FÖRSAMLING,66207000,0
NORRA HESTRA FÖRSAMLING,66208000,0
VILLSTADS FÖRSAMLING,66209000,0
BURSERYDS FÖRSAMLING,66210000,0
SANDVIKS FÖRSAMLING,66211000,0
GRYTERYDS FÖRSAMLING,66212000,0
SÖDRA HESTRA FÖRSAMLING,66213000,0
ÅS FÖRSAMLING F LÄN,66214000,0
KÅLLERSTADS FÖRSAMLING,66215000,0
REFTELE FÖRSAMLING,66216000,0
BYARUMS FÖRSAMLING,66501000,0
BONDSTORPS FÖRSAMLING,66502000,0
TOFTERYDS FÖRSAMLING,66503000,0
HAGSHULTS FÖRSAMLING,66504000,0
ÅKERS FÖRSAMLING F LÄN,66505000,0
SVENARUMS FÖRSAMLING,66506000,0
JÖNKÖPINGS SOFIA FÖRSAMLING,68001000,0
JÖNKÖPINGS KRISTINA FÖRSAMLING,68002000,0
LJUNGARUMS FÖRSAMLING,68003000,0
JÄRSTORPS FÖRSAMLING,68004000,0
HAKARPS FÖRSAMLING,68006000,0
GRÄNNA STADSFÖRSAMLING,68007002,0
GRÄNNA LANDSFÖRSAMLING,68007003,0
NORRAHAMMARS FÖRSAMLING,68008000,0
VISINGSÖ FÖRSAMLING,68009000,0
SKÄRSTADS FÖRSAMLING,68010000,0
ÖLMSTADS FÖRSAMLING,68011000,0
SVARTTORPS FÖRSAMLING,68012000,0
JÄRSNÄS FÖRSAMLING,68013000,0
LEKERYDS FÖRSAMLING,68014000,0
ROGBERGA FÖRSAMLING,68015000,0
BARNARPS FÖRSAMLING,68016000,0
ÖDESTUGU FÖRSAMLING,68017000,0
ÖGGESTORPS FÖRSAMLING,68018000,0
MÅNSARPS FÖRSAMLING,68019000,0
BANKERYDS FÖRSAMLING,68020000,0
BOTTNARYDS FÖRSAMLING,68021000,0
MULSERYDS FÖRSAMLING,68022000,0
ANGERDSHESTRA FÖRSAMLING,68023000,0
